gym_name,address,phone_number
Auburn University Recreation and Wellness Center,"601 Heisman Dr, Auburn, Alabama 36849",3348440023
Birmingham Boulders,"136 Industrial Drive Birmingham, Alabama 35211",2052014616
Campus Recreation Center,"University Of Alabama At Birmingham, 1501 University Blvd, Birmingham Alabama 35294",2059348224
Crux Climbing,"1790 Harper Rd, Northport, Alabama 35476",2055616133
Faucett Brothers Activity Center,"13040 Eugenia Faucett Drive Northport, Alabama 35473",2053315600
First Avenue Rocks,"2417 1St Avenue South, Birmingham, Alabama 35233",2053202277
Fortenberry-Colton Fitness Center,"Bldg. 5900 On The Corner Of Skychief Street And 5Th Avenue, Fort Rucker,Alabama 36362",3342553794
Gadrock,1403 Rainbow Drive Gadsden Alabama United States 35901,2563128185
High Point Climbing - Birmingham,"4766 Us-280, Birmingham, Alabama 35242",2059819190
High Point Climbing - Huntsville,"1020 Nunnahsae Park Dr. Nw (4.43 Mi) Huntsville, Alabama 35806",4236027625
University of Alabama,"401 5Th Ave East, Tuscaloosa, Alabama 35487",2053487267
University of South Alabama - Student Recreation Center,"307 N University Blvd, Mobile, Alabama 36688-0002",2514606065
YMCA Camp Cosby Alpine Tower,"2290 Paul Bear Bryant Rd, Alpine, Alabama 35014",2562682007
Alaska Rock Gym,"4840 Fairbanks St, Anchorage, Alaska 99503",9075627265
Alaska-Pacific University Climbing Wall,"4101 University Dr., Anchorage, Alaska 99508",9075648314
Ascension Rock Club,"195 Alta Way, Fairbanks, Alaska 99701",9074525462
Denali Rock Climbing,"1080 Wasilla-Fishhook Rd, Wasilla, Alaska 99654",9073733488
Homer Bay Club,"2395 Kachemak Drive Homer, Alaska 99603",
Piuraagvik Recreation Center,"2026 Ahkovak St, Barrow, Alaska 99723",9078522514
Skagway Recreation Center,"13Th And Main St., Skagway, Alaska 99840",9079832769
The Alaska Club South,"10931 O'Malley Centre Dr., Anchorage, Alaska 99515",9073446567
The Alaska Club Valley,"1720 E. Parks Hwy., Wasilla, Alaska 99654",9073763300
The Alaska Club West,"1400 W. Northern Lights Blvd., Anchorage, Alaska 99503",9072642720
The Rock Dump Indoor Climbing Gym,"1310 Eastaugh Way, Juneau, Alaska 99801",9075864982
University of Alaska Southeast Climbing Wall,"12300 Mendenhall Loop Rd., Juneau, Alaska 99801",9077966544
University of Alaska Student Rec Center,"Fairbanks, Alaska 99775",9074745886
Valdez Middle School Climbing Gym,"357 Robe River Dr, Valdez, Alaska 99686",9078352531
Alta Boulders,"2945 S Alma School Rd Chandler, Arizona 85248",
Alta Climbing and Fitness,"3193 S Ranch House Ct, Gilbert, Arizona 85297",
Ape Index,"9700 N. 91St Avenue, Peoria, Arizona 85345",6232429164
AZ on the Rocks,"16447 N. 91St Street Suite A, Scottsdale, Arizona 85255",4805029777
Beta Bouldering Gym,"495 S. River Run Rd. Suite 104, Flagstaff, Arizona 86001",9282660498
Black Rock Bouldering Gym,"10436 N 32Nd St, Phoenix Arizona 85028",6028432724
Bouldering Project,"2626 S Hardy Dr, Tempe, Arizona 85282",4807169014
Ciba  Climbing,"4066 East Monsanto Drive Sierra Vista, Arizona , 85650 United States",5202555655
Ciba Climbing,"4066 E Monsanto Dr, Suite B, Sierra Vista, Arizona 85635",6096680858
Climbmax Climbing Gym,"1330 W. Auto Dr. #112, Tempe, Arizona 85284",4806267755
Flagstaff Climbing: Downtown Crag,"205 S. San Francisco Street, Flagstaff, Arizona 86001",9285569909
Flagstaff Climbing: Main Street Boulders,"1519 N. Main St., Flagstaff, Arizona 86004",9286994246
Focus Climbing Center,"2150 W Broadway Rd 103, Mesa, Arizona , 85202",4807185258
GCU Climbing Wall,"3300 West Camelback Road, Arizona",6026397385
Gecko Climbing Gym,"24400 N 19Th Ave Unit 115 Phoenix, Arizona 85085 United States",6232480890
Gripstone,"319 N Lee Blvd Prescott, Arizona 86301",9284587579
Lifetime Fitness,"1616 W. Ruby Drive, Tempe, Arizona 85248",4807058855
Lifetime Fitnesses Palm Valley,"14540 W Mcdowell Rd Goodyear, Arizona 8595 United States",6235369595
Miraval Luxury Resort,"500 East Via Estancia, Catalina, Arizona 85739",8002323969
Northern Arizona University Climbing wall,"Po Box 5773, Flagstaff, Arizona 86011",9285233229
Phoenix Rock Gym,"1353 E. University, Tempe, Arizona 85281",4809218322
Prescott Rocks and Rec,"1201 W Iron Springs Rd #8, Prescott, Arizona 86305",9282271975
Rock Solid Climbing & Fitness,"3949 W Costco Dr #151, Tucson, Arizona 85741",5202226228
Rocks and Ropes Climbing Gym,"330 S. Toole Ave. #450, Tucson, Arizona 85701",5208825924
The Bloc,"8975 E. Tanque Verde Ste 155 Tucson, Arizona 85749",5202092562
Boulders and Brews,"612 W Dickson St Fayetteville, Arkansas 72701",4793325395
Climb Bentonville,"801 Sw 14Th Street, Bentonville Arkansas 72712",4793268521
Climb Conway,"1157 Pat'S Lane Conway, Arkansas 72032",5015144183
Elevate sports gym,805 Cottonwood Rd Harrison Arkansas 72601,8706880127
La Casa Pollo,"17496 Lake Sequoyah Rd, Fayetteville, Arkansas 72701",4794446132
